Province,Regency/City,Sub-District,Geocoder,Location,Latitude,Longitude
Bali,Kota Denpasar,Sumerta Kaja,"Sumerta Kaja, Bali, Indonesia","Sumerta Kaja, Denpasar, Bali, 80233, Indonesia",-8.6472517,115.2298754
Bali,Kota Denpasar,Sumerta Kauh,"Sumerta Kauh, Bali, Indonesia","Sumerta Kauh, Denpasar, Bali, 80236, Indonesia",-8.6547604,115.2279521
Bali,Kota Denpasar,Sumerta Kelod/Klod,"Sumerta Kelod/Klod, Bali, Indonesia","Jalan SD Negeri 9 Sumerta, Sumerta Kelod, Denpasar Timur, Denpasar, Bali, 80239, Indonesia",-8.6581295,115.2337504
Bali,Kota Denpasar,Dangin Puri Kaja,"Dangin Puri Kaja, Bali, Indonesia","Dangin Puri Kaja, Denpasar, Bali, 80233, Indonesia",-8.6436574,115.2191619
Bali,Kota Denpasar,Dangin Puri Kangin,"Dangin Puri Kangin, Bali, Indonesia","Dangin Puri Kangin, Denpasar, Bali, 80236, Indonesia",-8.6505584,115.2243257
Bali,Kota Denpasar,Dangin Puri Kauh,"Dangin Puri Kauh, Bali, Indonesia","Dangin Puri Kauh, Denpasar, Bali, 80232, Indonesia",-8.6520185,115.2165964
Bali,Kota Denpasar,Dauh Puri Kaja,"Dauh Puri Kaja, Bali, Indonesia","Dauh Puri Kaja, Denpasar, Bali, 80118, Indonesia",-8.6429107,115.2135472
Bali,Kota Denpasar,Peguyangan,"Peguyangan, Bali, Indonesia","Peguyangan, Denpasar, Bali, 80115, Indonesia",-8.6229937,115.2132238
Bali,Kota Denpasar,Pemecutan Kaja,"Pemecutan Kaja, Bali, Indonesia","Pemecutan Kaja, Denpasar, Bali, 80116, Indonesia",-8.6448904,115.2017835
Bali,Kota Denpasar,Tonja,"Tonja, Bali, Indonesia","Tonja, Denpasar, Bali, 80115, Indonesia",-8.6316699,115.2260654
Bali,Kota Denpasar,Ubung,"Ubung, Bali, Indonesia","Ubung, Denpasar, Bali, 80116, Indonesia",-8.6322168,115.1996021
Bali,Kota Denpasar,Ubung Kaja,"Ubung Kaja, Bali, Indonesia","Ubung Kaja, Denpasar, Bali, 80116, Indonesia",-8.6203042,115.1983593
Bali,Kabupaten Badung,Angantaka,"Angantaka, Bali, Indonesia","Angantaka, Bali, 80238, Indonesia",-8.5827046,115.2422415
Bali,Kabupaten Badung,Ayunan,"Ayunan, Bali, Indonesia","Ayunan, Bali, 80352, Indonesia",-8.5012648,115.1987441
Bali,Kabupaten Badung,Blahkiuh,"Blahkiuh, Bali, Indonesia","Blahkiuh, Bali, 80352, Indonesia",-8.5108148,115.2098933
Bali,Kabupaten Badung,Darmasaba,"Darmasaba, Bali, Indonesia","Darmasaba, Bali, 80238, Indonesia",-8.5865855,115.2073776
Bali,Kabupaten Badung,Mambal,"Mambal, Bali, Indonesia","Mambal, Bali, 80352, Indonesia",-8.5427937,115.221436
Bali,Kabupaten Badung,Sangeh,"Sangeh, Bali, Indonesia","Sangeh, Bali, 80352, Indonesia",-8.4856044,115.2095944
Bali,Kabupaten Badung,Sibang Gede,"Sibang Gede, Bali, Indonesia","Sibang Gede, Bali, 80238, Indonesia",-8.5792095,115.2231177
Bali,Kabupaten Badung,Sibang Kaja,"Sibang Kaja, Bali, Indonesia","Sibang Kaja, Bali, Indonesia",-8.5655134,115.216988
Bali,Kabupaten Badung,Kedonganan,"Kedonganan, Bali, Indonesia","Kedonganan, Kuta, Bali, Indonesia",-8.7620233,115.1754182
Bali,Kabupaten Badung,Kuta,"Kuta, Bali, Indonesia","Kuta, Bali, Indonesia",-8.7278354,115.1730049
Bali,Kabupaten Badung,Legian,"Legian, Bali, Indonesia","Legian, Kuta, Bali, 80612, Indonesia",-8.703338,115.1688432
Bali,Kabupaten Badung,Seminyak,"Seminyak, Bali, Indonesia","Seminyak, Kuta, Bali, Indonesia",-8.6908357,115.1641975
Bali,Kabupaten Badung,Tuban,"Tuban, Bali, Indonesia","Tuban, Kuta, Bali, JALAN BHINEKA JATI JAYA XI, Indonesia",-8.7353192,115.1760241
Bali,Kabupaten Badung,Benoa,"Benoa, Bali, Indonesia","Benoa, Kuta Selatan, Bali, Indonesia",-8.8007914,115.2105452
Bali,Kabupaten Badung,Jimbaran,"Jimbaran, Bali, Indonesia","Jimbaran, Kuta Selatan, Bali, Indonesia",-8.7724902,115.1723944
Bali,Kabupaten Badung,Pecatu,"Pecatu, Bali, Indonesia","Pecatu, Kuta Selatan, Bali, Indonesia",-8.8266671,115.1149608
Bali,Kabupaten Badung,Tanjung Benoa,"Tanjung Benoa, Bali, Indonesia","Tanjung Benoa, Benoa, Kuta Selatan, Bali, Indonesia",-8.76573985,115.22325623337838
Bali,Kabupaten Badung,Ungasan,"Ungasan, Bali, Indonesia","Ungasan, Kuta Selatan, Bali, Indonesia",-8.8286667,115.1654257781247
Bali,Kabupaten Badung,Canggu,"Canggu, Bali, Indonesia","Canggu, Bali, 08456, Indonesia",-8.650618,115.1364993
Bali,Kabupaten Badung,Dalung,"Dalung, Bali, Indonesia","Dalung, Bali, 0000, Indonesia",-8.6188557,115.1704677
Bali,Kabupaten Badung,Kerobokan Kaja,"Kerobokan Kaja, Bali, Indonesia","Kerobokan Kaja, Bali, 80116, Indonesia",-8.6399162,115.1746557
Bali,Kabupaten Badung,Kerobokan Kelod,"Kerobokan Kelod, Bali, Indonesia","Ticket to the Moon, Jalan Tangkuban Perahu, Padangsambian Kelod, Denpasar Barat, Denpasar, Bali, 08361, Indonesia",-8.6726172,115.171246
Bali,Kabupaten Badung,Tibubeneng,"Tibubeneng, Bali, Indonesia","Tibubeneng, Bali, 80351, Indonesia",-8.6451772,115.1519964
Bali,Kabupaten Badung,Abianbase,"Abianbase, Bali, Indonesia","Abianbase, Bali, 0000, Indonesia",-8.5928313,115.1709295
